report_number,report_date,nom_raw,nom,metric,value,source_pdf,source_post,method
013,2026-05-27,Katwa,Katwa,cumulative_suspected_deaths,0,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,pdftotext_layout_table_ii
013,2026-05-27,Katwa,Katwa,cumulative_confirmed_cases,4,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,pdftotext_layout_table_ii
013,2026-05-27,Katwa,Katwa,cumulative_contacts_traced,111,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,pdftotext_layout_table_ii
013,2026-05-27,Kyondo,Kyondo,cumulative_suspected_cases,0,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,pdftotext_layout_table_ii
013,2026-05-27,Kyondo,Kyondo,cumulative_suspected_deaths,0,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,pdftotext_layout_table_ii
013,2026-05-27,Kyondo,Kyondo,cumulative_confirmed_cases,0,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,pdftotext_layout_table_ii
013,2026-05-27,Kyondo,Kyondo,cumulative_contacts_traced,16,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,pdftotext_layout_table_ii
013,2026-05-27,Oicha,Oicha,cumulative_suspected_cases,0,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,pdftotext_layout_table_ii
013,2026-05-27,Oicha,Oicha,cumulative_suspected_deaths,0,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,pdftotext_layout_table_ii
013,2026-05-27,Oicha,Oicha,cumulative_confirmed_cases,2,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,pdftotext_layout_table_ii
013,2026-05-27,Oicha,Oicha,cumulative_contacts_traced,ND,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,pdftotext_layout_table_ii
013,2026-05-27,Miti Murhesa,Miti-Murhesa,cumulative_suspected_cases,1,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,pdftotext_layout_table_ii
013,2026-05-27,Miti Murhesa,Miti-Murhesa,cumulative_suspected_deaths,0,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,pdftotext_layout_table_ii
013,2026-05-27,Miti Murhesa,Miti-Murhesa,cumulative_confirmed_cases,1,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,pdftotext_layout_table_ii
013,2026-05-27,Miti Murhesa,Miti-Murhesa,cumulative_contacts_traced,ND,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,pdftotext_layout_table_ii
